iter	Passed	Remaining
0	117	352389
1	180	270149
2	250	250558
3	289	216563
4	362	216901
5	431	215174
6	505	216292
7	576	215611
8	646	214881
9	714	213692
10	783	212876
11	884	220269
12	953	218992
13	1025	218811
14	1097	218451
15	1168	217848
16	1238	217355
17	1309	216994
18	1378	216350
19	1447	215731
20	1516	215120
21	1584	214542
22	1655	214274
23	1724	213844
24	1795	213694
25	1863	213204
26	1934	212999
27	2002	212578
28	2072	212287
29	2141	211980
30	2209	211635
31	2278	211357
32	2346	210991
33	2380	207657
34	2511	212721
35	2647	217998
36	2741	219503
37	2813	219295
38	2883	218896
39	2953	218533
40	3024	218249
41	3098	218204
42	3167	217788
43	3235	217369
44	3305	217068
45	3379	217049
46	3455	217093
47	3530	217100
48	3605	217137
49	3680	217140
50	3749	216794
51	3818	216491
52	3889	216259
53	3958	215970
54	4027	215677
55	4098	215462
56	4171	215391
57	4244	215279
58	4314	215051
59	4347	213043
60	4412	212616
61	4482	212408
62	4552	212226
63	4620	211972
64	4689	211770
65	4758	211529
66	4827	211320
67	4895	211079
68	4966	210961
69	5035	210755
70	5105	210605
71	5139	208990
72	5205	208711
73	5274	208549
74	5344	208441
75	5414	208325
76	5484	208201
77	5553	208054
78	5621	207868
79	5690	207694
80	5758	207535
81	5827	207356
82	5902	207450
83	5971	207305
84	6041	207194
85	6111	207078
86	6180	206951
87	6249	206816
88	6318	206664
89	6387	206530
90	6456	206396
91	6525	206276
92	6593	206110
93	6670	206204
94	6740	206114
95	6810	206030
96	6890	206206
97	6966	206281
98	7041	206323
99	7127	206699
100	7196	206563
